group,output,generator,status,notes
B-1,N5_all_steps_a_b_a2_b2_ab.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_final_four_group_pattern_by_step.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_key_step_ab2_ab_classes.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_relation_class_counts_by_step.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_step5000_four_group_summary.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_time_separation_milestones.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_inflation_vs_ordering_timeseries.csv,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_final_z2_classes.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_four_group_convergence.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_two_family_components.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_common_vs_differential_phase_rotation.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_square_pyramid_interpretation.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_complete_analysis_infographic.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-1,N5_complex_simplex_structure_infographic.png,B1_N5/reconstruct_N5_missing_outputs.py,RECONSTRUCTED_EQUIVALENT,7 CSV numerically validated; figures content-equivalent
B-2,N16_phase_structure_summary.json,B2_N16/reconstruct_N16_missing_outputs.py,RECONSTRUCTED_EXACT,all four validated against saved output
B-2,N16_step5000_final_edges_with_normalized_components.csv,B2_N16/reconstruct_N16_missing_outputs.py,RECONSTRUCTED_EXACT,all four validated against saved output
B-2,N16_time_separation_milestones.csv,B2_N16/reconstruct_N16_missing_outputs.py,RECONSTRUCTED_EXACT,all four validated against saved output
B-2,N16_triplet_cluster_counts_selected_steps.csv,B2_N16/reconstruct_N16_missing_outputs.py,RECONSTRUCTED_EXACT,all four validated against saved output
B-3,N3_final_phase_classes.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N3_pairwise_phase_difference_classes.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N3_phase_difference_convergence_to_one_third.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N3_phase_convergence_to_one_third.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N3_triangle_phase_classes.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N3_final_z2_phase_circle.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_final_phase_classes.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_opposite_edge_phase_ordering.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_pairwise_phase_difference_classes.csv,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_phase_ordering.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_tetrahedron_opposite_edge_classes.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-3,N4_final_z2_phase_circle.png,B3_N3_N4/reconstruct_N3_N4_phase_outputs.py,RECONSTRUCTED_EQUIVALENT,CSVs validated; figures content-equivalent
B-4,N3_N4_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
B-4,N6_N7_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
